Date,Publication,Headline,URL
20140419,The Guardian,We've compiled a list of the most-viewed pieces of content since 2010,http://www.theguardian.com/news/datablog/2014/apr/17/the-guardians-top-100-which-articles-have-been-most-popular
20120722,New York Times,"Stymied at U.N., U.S. Refines Plan to Remove Assad",http://www.nytimes.com/2012/07/22/world/middleeast/us-to-focus-on-forcibly-toppling-syrian-government.html?hp
20090104,Washington Post,Essay Prize Earns Parade Seats for D.C. Kids,http://www.washingtonpost.com/wp-dyn/content/article/2009/01/03/AR2009010301743.html?hpid=sec-education
20130515,The Guardian,Chris Kelly's film about Vietnamese rubber firms,http://www.guardian.co.uk/world/video/2013/may/13/western-banks-financing-land-grabs-video
20081120,Daily Mail,The long farm of the law: Police force unveils its latest weapon against crime - a John Deere TRACTOR,http://www.dailymail.co.uk/news/article-1308297/Police-force-unveils-latest-weapon-crime--John-Deere-tractor.html
20141113,BBC,Taiwan’s most gruelling cycling challenge,http://www.bbc.com/travel/feature/20140724-in-taiwan-a-quest-to-reach-sun-moon-lake
20120107,Washington Post,Why twins are multiplying,http://www.washingtonpost.com/blogs/on-parenting/post/twins-are-multiplying-raising-new-questions-for-the-nature-vs-nurture-debate/2012/01/05/gIQALYOAdP_blog.html
20100213,New York Times,Op-Art: One Week of Missed Connections,http://www.nytimes.com/interactive/2010/02/14/opinion/20100214logan.html
20130914,Daily Mail,Pictured: The horrifying moment a family's pet Siberian husky is killed by a 10ft PYTHON which slithered into their yard,http://www.dailymail.co.uk/news/article-2417574/PYTHON-killed-pet-Siberian-husky-family-reportedly-related-accused-murderer-Jose-R-Rojas.html?ico=ushome^mostread
20101016,CNBC,Symbol Lookup,http://www.cnbc.com/id/15837272
20100526,New York Post,Mike rips alien policy,http://www.nypost.com/p/news/local/mike_rips_alien_policy_qdw9MNQpCfXq0yNlkO3ykL
20140601,Daily Mail,4 comments,http://www.dailymail.co.uk/news/article-2645415/Magical-dawn-light-clouds-creates-incredible-rainbow-like-arc-ancient-Chinese-archway.html#comments
20160115,Washington Post,"2   Clinton’s lead is evaporating, and anxious Democrats see 2008 all over again",https://www.washingtonpost.com/politics/clintons-lead-is-evaporating-and-anxious-democrats-see-2008-all-over-again/2016/01/15/ebd8db3c-bacc-11e5-99f3-184bc379b12d_story.html?tid=pm_pop_b
20080314,Daily Mail,Prince Harry faces animal cruelty claim over polo pony's stab wound from his spur,http://www.dailymail.co.uk/news/article-1308528/Prince-Harry-faces-animal-cruelty-claim-polo-ponys-stab-wound-spur.html
20141101,New York Post,"Miley lands MAC deal, ELLE goes feminist and more",http://nypost.com/2014/10/30/miley-lands-mac-deal-elle-goes-feminist-and-more/
20080628,New York Times,Waistlines Expand Into a  Workplace Issue,http://www.nytimes.com/2008/06/22/jobs/22mgmt.html
20141227,USA Today,Minnesota family acquires Polaroid majority,http://www.usatoday.com/story/money/business/2014/12/27/pohlads-polaroid/20948459/
20131026,The Guardian,US official calls for 'greater focus' in surveillance,http://www.theguardian.com/world/2013/oct/25/white-house-op-ed-nsa-foreign-surveillance
20120411,Daily Mail,Tatt's not good enough for the cover then: Megan Fox's back inking is airbrushed from front of magazine Was edited off the cover,http://www.dailymail.co.uk/tvshowbiz/article-2128365/Photoshop-victim-Megan-Foxs-tattoo-airbrushed-magazine-cover-picture.html
20090615,The Guardian,Fire and blasts at propane depot in Tavares,http://www.theguardian.com/world/video/2013/jul/30/explosions-propane-plant-florida-video
20130728,BBC,Plastic fantastic,http://www.bbc.com/culture/story/20130726-strange-and-stunning-pictures
